"date","France__Sentinelles__inc"
11/22/99,9178
11/29/99,9318
12/6/99,11656
12/13/99,10859
12/20/99,10471
12/27/99,5162
1/3/00,7400
1/10/00,7771
1/18/00,11178
1/24/00,4536
1/31/00,7346
2/7/00,10466
2/14/00,7865
2/22/00,7805
2/28/00,8611
3/6/00,8295
3/13/00,11253
3/20/00,14486
3/27/00,9906
4/3/00,12858
4/10/00,6949
4/17/00,8606
4/24/00,14134
5/1/00,13013
5/8/00,13329
5/15/00,19116
5/22/00,14649
5/30/00,13253
6/5/00,10348
6/12/00,9283
6/19/00,10320
6/26/00,13037
7/3/00,16058
7/10/00,17686
7/17/00,10858
7/24/00,5837
7/31/00,18956
8/7/00,13390
8/14/00,9760
8/21/00,12082
8/28/00,9310
9/5/00,20200
9/11/00,13498
9/18/00,26332
9/25/00,14676
10/2/00,12886
10/9/00,17515
10/16/00,11436
10/23/00,10264
10/30/00,9637
11/6/00,10941
11/13/00,11584
11/20/00,12286
11/27/00,11090
12/4/00,17401
12/11/00,11879
12/18/00,13602
12/26/00,9266
1/2/01,9982
1/8/01,9476
1/16/01,10078
1/22/01,14067
1/29/01,13447
2/5/01,11645
2/12/01,10183
2/20/01,9085
2/26/01,10062
3/5/01,12790
3/12/01,10609
3/19/01,8753
3/26/01,8064
4/2/01,7395
4/9/01,13775
4/16/01,10671
4/23/01,17595
4/30/01,12240
5/7/01,11155
5/14/01,12601
5/21/01,9068
5/29/01,12580
6/4/01,12266
6/11/01,13093
6/18/01,11045
6/25/01,10026
7/2/01,10770
7/9/01,8761
7/16/01,6558
7/23/01,5756
7/30/01,14007
8/6/01,24009
8/13/01,16673
8/20/01,19385
8/27/01,7786
9/4/01,9312
9/10/01,11114
9/24/01,6426
10/1/01,20308
10/8/01,6903
10/15/01,7099
10/22/01,14826
10/29/01,11434
11/5/01,2812
11/12/01,5829
11/19/01,6304
11/26/01,13842
12/3/01,12547
12/10/01,10076
12/17/01,6825
12/24/01,4324
12/31/01,5454
