"date","France__Sentinelles__inc"
"1995-10-23",11012
"1995-10-30",10392
"1995-11-06",13488
"1995-11-13",17791
"1995-11-20",12735
"1995-11-27",12375
"1995-12-04",11966
"1995-12-11",11159
"1995-12-18",13339
"1995-12-26",5069
"1996-01-02",11553
"1996-01-08",12326
"1996-01-15",10636
"1996-01-22",11715
"1996-01-29",10149
"1996-02-05",11772
"1996-02-12",15247
"1996-02-20",12479
"1996-02-26",8821
"1996-03-04",11255
"1996-03-11",15105
"1996-03-18",16145
"1996-03-25",15300
"1996-04-01",12613
"1996-04-08",16536
"1996-04-15",13033
"1996-04-22",14871
"1996-04-29",13584
"1996-05-06",16589
"1996-05-13",14912
"1996-05-20",14808
"1996-05-28",14442
"1996-06-03",15019
"1996-06-10",17957
"1996-06-17",15510
"1996-06-24",12046
"1996-07-01",12883
"1996-07-08",14675
"1996-07-15",14580
"1996-07-22",17631
"1996-07-29",22232
"1996-08-05",14989
"1996-08-12",9329
"1996-08-19",12361
"1996-08-26",11777
"1996-09-03",11655
"1996-09-09",15436
"1996-09-16",15641
"1996-09-23",14109
"1996-09-30",17805
"1996-10-07",10580
"1996-10-14",9491
"1996-10-21",13995
"1996-10-28",11982
"1996-11-04",11054
"1996-11-11",11205
"1996-11-18",11784
"1996-11-25",9473
"1996-12-02",10150
"1996-12-09",8069
"1996-12-16",9557
"1996-12-23",6407
"1996-12-30",6744
"1997-01-06",8643
"1997-01-13",11630
"1997-01-20",10931
"1997-01-27",12205
"1997-02-03",10595
"1997-02-10",9441
"1997-02-18",10590
"1997-02-24",11065
"1997-03-03",14164
"1997-03-10",12809
"1997-03-17",14202
"1997-03-24",11714
"1997-03-31",12129
"1997-04-07",13638
"1997-04-14",11738
"1997-04-21",15066
"1997-04-28",14055
"1997-05-05",19675
"1997-05-12",20241
"1997-05-19",18847
"1997-05-27",16497
"1997-06-02",18042
"1997-06-09",11080
"1997-06-16",16734
"1997-06-23",19416
"1997-06-30",15139
"1997-07-07",20785
"1997-07-14",11756
"1997-07-21",17131
"1997-07-28",19425
"1997-08-04",21018
"1997-08-11",16072
"1997-08-18",12612
"1997-08-25",20360
"1997-09-02",14911
"1997-09-08",9975
"1997-09-15",10003
"1997-09-22",8095
"1997-09-29",13313
"1997-10-06",11542
"1997-10-13",12208
"1997-10-20",11048
"1997-10-27",9940
"1997-11-03",10988
"1997-11-10",7898
"1997-11-17",11603
"1997-11-24",13225
"1997-12-01",15467
"1997-12-08",15315
"1997-12-15",13557
"1997-12-22",8621
"1997-12-29",7588
"1998-01-05",16892
"1998-01-12",12343
"1998-01-20",12763
"1998-01-26",10044
"1998-02-02",9747
"1998-02-09",11012
"1998-02-17",8446
"1998-02-23",13670
"1998-03-02",12318
"1998-03-09",11586
"1998-03-16",10819
"1998-03-23",6997
"1998-03-30",11894
"1998-04-06",10749
"1998-04-13",9909
"1998-04-20",12646
"1998-04-27",14812
"1998-05-04",16303
"1998-05-11",19103
"1998-05-18",14428
"1998-05-26",15094
"1998-06-01",16101
"1998-06-08",19212
"1998-06-15",15730
"1998-06-22",16244
"1998-06-29",13318
"1998-07-06",9526
"1998-07-13",13270
"1998-07-20",14519
"1998-07-27",15481
"1998-08-03",21391
"1998-08-10",19727
