index,S:all,I:all,r0:all,v:all,sto:all,rep:all,phi:all,log_like
22,0.07,1.13698e-05,15.3551,10.2056,0.1,0.608021,0.1,-20284.905671
23,0.07,1.13698e-05,15.3551,10.2056,0.1,0.608021,0.1,-20284.905671
24,0.07,1.13698e-05,15.3551,10.2056,0.1,0.608021,0.1,-20284.905671
25,0.07,1.16686e-05,14.7092,10.1432,0.1,0.608126,0.1,-20161.526932
26,0.07,1.15799e-05,14.7987,10.1675,0.1,0.609812,0.1,-20114.187807
27,0.07,1.15799e-05,14.7987,10.1675,0.1,0.609812,0.1,-20114.187807
28,0.07,1.14473e-05,15.2012,10.2318,0.1,0.608163,0.1,-20028.402104
29,0.07,1.14473e-05,15.2012,10.2318,0.1,0.608163,0.1,-20028.402104
30,0.07,1.14682e-05,15.1136,10.1959,0.1,0.608357,0.1,-20010.925345
31,0.07,1.14682e-05,15.1136,10.1959,0.1,0.608357,0.1,-20010.925345
32,0.07,1.14682e-05,15.1136,10.1959,0.1,0.608357,0.1,-20010.925345
33,0.07,1.14682e-05,15.1136,10.1959,0.1,0.608357,0.1,-20010.925345
34,0.07,1.14682e-05,15.1136,10.1959,0.1,0.608357,0.1,-20010.925345
35,0.07,1.14682e-05,15.1136,10.1959,0.1,0.608357,0.1,-20010.925345
36,0.07,1.14682e-05,15.1136,10.1959,0.1,0.608357,0.1,-20010.925345
37,0.07,1.14682e-05,15.1136,10.1959,0.1,0.608357,0.1,-20010.925345
38,0.07,1.14969e-05,15.1847,10.1942,0.1,0.606844,0.1,-19999.273510
39,0.07,1.14969e-05,15.1847,10.1942,0.1,0.606844,0.1,-19999.273510
40,0.07,1.14969e-05,15.1847,10.1942,0.1,0.606844,0.1,-19999.273510
41,0.07,1.14969e-05,15.1847,10.1942,0.1,0.606844,0.1,-19999.273510
42,0.07,1.15776e-05,15.051,10.1179,0.1,0.60602,0.1,-19978.584093
43,0.07,1.15678e-05,15.1569,10.1524,0.1,0.60537,0.1,-19970.611795
