"date","Paris__Sentinelles__inc"
"2004-12-20",1675
"2004-12-27",1243
"2005-01-03",676
"2005-01-10",1456
"2005-01-18",1505
"2005-01-24",1660
"2005-01-31",1707
"2005-02-07",903
"2005-02-14",1613
"2005-02-22",4397
"2005-02-28",1645
"2005-03-07",2675
"2005-03-14",1848
"2005-03-21",3012
"2005-03-28",3028
"2005-04-04",1227
"2005-04-11",1486
"2005-04-18",1541
"2005-04-25",1063
"2005-05-02",968
"2005-05-09",964
"2005-05-16",2462
"2005-05-23",2734
"2005-05-31",660
"2005-06-06",3971
"2005-06-13",1435
"2005-06-20",489
"2005-06-27",379
"2005-07-05",1592
"2005-07-11",1752
"2005-07-18",1135
"2005-07-25",997
"2005-08-01",0
"2005-08-08",1967
"2005-08-15",459
"2005-08-22",791
"2005-08-29",404
"2005-09-06",0
"2005-09-12",241
"2005-09-19",257
"2005-09-26",164
"2005-10-03",0
"2005-10-10",40
"2005-10-17",395
"2005-10-24",458
"2005-10-31",499
"2005-11-07",599
"2005-11-14",196
"2005-11-21",691
"2005-11-28",1338
"2005-12-05",1189
"2005-12-12",1363
"2005-12-19",356
"2005-12-27",1007
"2006-01-03",1692
"2006-01-09",1139
"2006-01-17",2009
"2006-01-23",2831
"2006-01-30",2484
"2006-02-06",1453
"2006-02-13",1829
"2006-02-21",1057
"2006-02-27",1904
"2006-03-06",2521
"2006-03-13",2700
"2006-03-20",1750
"2006-03-27",3954
"2006-04-03",6913
"2006-04-10",1610
"2006-04-17",848
"2006-04-24",2770
"2006-05-01",1242
"2006-05-08",631
"2006-05-15",21402
"2006-05-22",946
"2006-05-30",1453
"2006-06-05",507
"2006-06-12",594
"2006-06-19",271
"2006-06-26",1770
"2006-07-03",1555
"2006-07-10",2697
"2006-07-17",2933
"2006-07-24",0
"2006-07-31",0
"2006-08-07",332
"2006-08-14",0
"2006-08-21",0
"2006-08-28",0
"2006-09-05",0
"2006-09-11",167
"2006-09-18",29
"2006-09-25",0
"2006-10-02",0
"2006-10-09",196
"2006-10-16",205
"2006-10-23",24
"2006-10-30",218
"2006-11-06",406
"2006-11-13",1665
"2006-11-20",1034
"2006-11-27",149
"2006-12-04",0
"2006-12-11",590
"2006-12-18",200
"2006-12-26",2005
"2007-01-03",2177
"2007-01-08",3703
"2007-01-16",1311
"2007-01-22",1752
"2007-01-29",1621
"2007-02-05",3419
"2007-02-12",2910
"2007-02-20",5297
"2007-02-26",1676
"2007-03-05",2772
"2007-03-12",2949
"2007-03-19",3934
"2007-03-26",3500
"2007-04-02",4415
"2007-04-09",1347
"2007-04-16",1687
"2007-04-23",6787
"2007-04-30",5933
"2007-05-07",5720
"2007-05-14",3499
"2007-05-21",1088
"2007-05-29",1124
"2007-06-04",3013
"2007-06-11",5645
"2007-06-18",4296
"2007-06-25",2734
"2007-07-02",2048
"2007-07-09",1201
"2007-07-16",1020
"2007-07-23",868
"2007-07-30",1640
"2007-08-06",2292
"2007-08-13",935
"2007-08-20",329
"2007-08-27",279
"2007-09-04",0
"2007-09-10",68
"2007-09-17",931
"2007-09-24",370
"2007-10-01",473
"2007-10-08",483
"2007-10-15",121
"2007-10-22",1237
"2007-10-29",457
"2007-11-05",261
"2007-11-12",444
"2007-11-19",691
"2007-11-26",539
"2007-12-03",429
"2007-12-10",1478
"2007-12-17",2519
"2007-12-24",2319
"2007-12-31",2668
"2008-01-07",4222
"2008-01-14",1468
"2008-01-22",2143
"2008-01-28",995
"2008-02-04",3137
"2008-02-11",3362
"2008-02-19",1179
"2008-02-25",2638
"2008-03-03",2682
"2008-03-10",3636
"2008-03-17",1901
"2008-03-24",1611
"2008-03-31",740
"2008-04-07",2756
"2008-04-14",3277
"2008-04-21",1790
"2008-04-28",1754
"2008-05-05",4993
"2008-05-12",734
"2008-05-19",3947
"2008-05-27",793
"2008-06-02",965
"2008-06-09",2125
"2008-06-16",4203
"2008-06-23",4138
"2008-06-30",2559
"2008-07-07",706
"2008-07-14",135
"2008-07-21",0
"2008-07-28",44
"2008-08-04",1097
"2008-08-11",290
"2008-08-18",91
"2008-08-25",212
"2008-09-02",0
"2008-09-08",1936
"2008-09-15",442
"2008-09-22",1079
"2008-09-29",848
"2008-10-06",850
"2008-10-13",1469
"2008-10-20",1739
"2008-10-27",669
"2008-11-03",1237
"2008-11-10",337
"2008-11-17",441
"2008-11-24",961
"2008-12-01",1241
"2008-12-08",312
"2008-12-15",1944
"2008-12-22",1321
"2008-12-29",2547
"2009-01-05",2809
"2009-01-12",2186
"2009-01-20",1391
"2009-01-26",2108
"2009-02-02",1979
"2009-02-09",3272
"2009-02-17",2364
"2009-02-23",886
"2009-03-02",3881
"2009-03-09",2799
"2009-03-16",168
"2009-03-23",935
"2009-03-30",1542
"2009-04-06",2874
"2009-04-13",1700
"2009-04-20",1581
"2009-04-27",3844
"2009-05-04",4319
"2009-05-11",1715
"2009-05-18",11372
"2009-05-26",2430
"2009-06-01",6231
"2009-06-08",5580
"2009-06-15",2537
"2009-06-22",5290
"2009-06-29",3686
"2009-07-06",1535
"2009-07-13",2515
"2009-07-20",611
"2009-07-27",570
"2009-08-03",460
"2009-08-10",1274
"2009-08-17",6680
"2009-08-24",0
"2009-08-31",95
"2009-09-08",146
"2009-09-14",350
"2009-09-21",833
"2009-09-28",459
"2009-10-05",85
"2009-10-12",808
"2009-10-19",0
"2009-10-26",838
"2009-11-02",396
"2009-11-09",611
"2009-11-16",0
"2009-11-23",930
"2009-11-30",1257
"2009-12-07",1706
"2009-12-14",1063
"2009-12-21",4170
"2009-12-28",5749
"2010-01-04",10780
"2010-01-11",3735
"2010-01-19",3120
"2010-01-25",1420
"2010-02-01",1284
"2010-02-08",6835
"2010-02-16",3463
"2010-02-22",7090
"2010-03-01",5632
"2010-03-08",5897
"2010-03-15",4801
"2010-03-22",2227
"2010-03-29",2523
"2010-04-05",3064
"2010-04-12",9572
"2010-04-19",4948
"2010-04-26",3089
"2010-05-03",6897
"2010-05-10",3922
"2010-05-17",2112
"2010-05-24",1898
"2010-06-01",1847
"2010-06-07",5732
"2010-06-14",3480
"2010-06-21",2934
"2010-06-28",3722
"2010-07-06",7810
"2010-07-12",8057
"2010-07-19",3524
"2010-07-26",1910
"2010-08-02",1135
"2010-08-09",1318
"2010-08-16",1180
"2010-08-23",953
"2010-08-30",1362
