"date","NJ__FluTrends__inc"
"1912-08-12",722
"1912-08-19",747
"1912-08-26",824
"1912-09-02",824
"1912-09-09",979
"1912-09-16",1366
"1912-09-23",1645
"1912-09-30",1795
"1912-10-07",1921
"1912-10-14",1940
"1912-10-21",1737
"1912-10-28",1162
"1912-11-04",1498
"1912-11-11",1849
"1912-11-18",1869
"1912-11-25",2529
"1912-12-02",3313
"1912-12-09",4032
"1912-12-16",5092
"1912-12-23",8181
"1912-12-30",10972
"1913-01-06",17400
"1913-01-13",20896
"1913-01-20",13573
"1913-01-27",9349
"1913-02-03",6909
"1913-02-10",5290
"1913-02-17",4746
"1913-02-24",4206
"1913-03-03",3754
"1913-03-10",3518
"1913-03-17",2843
"1913-03-24",2545
"1913-03-31",2210
"1913-04-07",1801
"1913-04-14",1287
"1913-04-21",1328
"1913-04-28",1094
"1913-05-05",1091
"1913-05-12",1056
