index,S:all,I:all,beta:all,k:all,sto:all,d:all,rep:all,phi:all,log_like
150,0.967166,2.94124e-06,0.983099,71.4852,0.1,0.270743,1,0.1,-7472.552703
151,0.968224,2.43555e-06,0.991341,70.9901,0.1,0.271547,1,0.1,-7468.331637
152,0.968224,2.43555e-06,0.991341,70.9901,0.1,0.271547,1,0.1,-7468.331637
153,0.968224,2.43555e-06,0.991341,70.9901,0.1,0.271547,1,0.1,-7468.331637
154,0.968224,2.43555e-06,0.991341,70.9901,0.1,0.271547,1,0.1,-7468.331637
155,0.968224,2.43555e-06,0.991341,70.9901,0.1,0.271547,1,0.1,-7468.331637
156,0.968224,2.43555e-06,0.991341,70.9901,0.1,0.271547,1,0.1,-7468.331637
157,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
158,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
159,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
160,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
161,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
162,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
163,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
164,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
165,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
166,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
167,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
168,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
169,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
170,0.969058,1.88151e-06,0.996561,70.561,0.1,0.26874,1,0.1,-7466.605959
171,0.969256,1.71216e-06,0.997556,70.4538,0.1,0.268325,1,0.1,-7466.593152
172,0.969256,1.71216e-06,0.997556,70.4538,0.1,0.268325,1,0.1,-7466.593152
173,0.969111,1.83962e-06,0.996833,70.5333,0.1,0.268525,1,0.1,-7466.591617
174,0.969111,1.83962e-06,0.996833,70.5333,0.1,0.268525,1,0.1,-7466.591617
175,0.969127,1.8256e-06,0.996918,70.5243,0.1,0.268773,1,0.1,-7466.587063
176,0.969146,1.80915e-06,0.997016,70.5138,0.1,0.268493,1,0.1,-7466.582399
177,0.969146,1.80915e-06,0.997016,70.5138,0.1,0.268493,1,0.1,-7466.582399
178,0.969188,1.77334e-06,0.997225,70.4911,0.1,0.268664,1,0.1,-7466.579676
179,0.969214,1.75048e-06,0.997353,70.477,0.1,0.268451,1,0.1,-7466.577714
180,0.969151,1.80549e-06,0.99704,70.5114,0.1,0.268544,1,0.1,-7466.576888
181,0.969217,1.74784e-06,0.997368,70.4753,0.1,0.268509,1,0.1,-7466.576720
182,0.969156,1.80116e-06,0.997065,70.5086,0.1,0.268653,1,0.1,-7466.576695
183,0.969166,1.79224e-06,0.997116,70.503,0.1,0.268529,1,0.1,-7466.575637
184,0.969185,1.7763e-06,0.997209,70.493,0.1,0.2686,1,0.1,-7466.575023
185,0.969195,1.7674e-06,0.997259,70.4874,0.1,0.268509,1,0.1,-7466.574672
186,0.969168,1.79113e-06,0.997124,70.5023,0.1,0.268552,1,0.1,-7466.574397
187,0.969196,1.76661e-06,0.997264,70.4869,0.1,0.268539,1,0.1,-7466.574346
188,0.969196,1.76661e-06,0.997264,70.4869,0.1,0.268539,1,0.1,-7466.574346
189,0.969174,1.78522e-06,0.997157,70.4986,0.1,0.268544,1,0.1,-7466.574328
190,0.969183,1.77816e-06,0.997198,70.4941,0.1,0.268574,1,0.1,-7466.574149
191,0.969187,1.77477e-06,0.997217,70.492,0.1,0.268535,1,0.1,-7466.574077
