index,S:all,I:all,r0:all,v:all,sto:all,rep:all,phi:all,log_like
138,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
139,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
140,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
141,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
142,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
143,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
144,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
145,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
146,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
147,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
148,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
149,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
150,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
151,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
152,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
153,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
154,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
155,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
156,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
157,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
158,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
159,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
160,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
161,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
162,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
163,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
164,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
