index,S:all,A:all,I:all,betaA:all,betaI:all,kA:all,kI:all,sto:all,rep:all,phi:all,log_like
62,0.661829,1.06504e-05,1.06535e-05,1.06827,0.0665863,4.89289,79.9365,0.1,1,0.1,-24138.620878
63,0.661573,1.09918e-05,1.08051e-05,1.06051,0.0664844,4.88979,80.3694,0.1,1,0.1,-24138.688072
64,0.661573,1.09918e-05,1.08051e-05,1.06051,0.0664844,4.88979,80.3694,0.1,1,0.1,-24138.688072
65,0.66406,1.11082e-05,1.09711e-05,1.10281,0.0654143,4.87756,80.5453,0.1,1,0.1,-24110.971044
66,0.66406,1.11082e-05,1.09711e-05,1.10281,0.0654143,4.87756,80.5453,0.1,1,0.1,-24110.971044
67,0.66406,1.11082e-05,1.09711e-05,1.10281,0.0654143,4.87756,80.5453,0.1,1,0.1,-24110.971044
68,0.66246,1.07841e-05,1.05758e-05,1.12105,0.0606563,4.889,80.3195,0.1,1,0.1,-23916.295732
69,0.66246,1.07841e-05,1.05758e-05,1.12105,0.0606563,4.889,80.3195,0.1,1,0.1,-23916.295732
70,0.66246,1.07841e-05,1.05758e-05,1.12105,0.0606563,4.889,80.3195,0.1,1,0.1,-23916.295732
71,0.66246,1.07841e-05,1.05758e-05,1.12105,0.0606563,4.889,80.3195,0.1,1,0.1,-23916.295732
72,0.66246,1.07841e-05,1.05758e-05,1.12105,0.0606563,4.889,80.3195,0.1,1,0.1,-23916.295732
73,0.66246,1.07841e-05,1.05758e-05,1.12105,0.0606563,4.889,80.3195,0.1,1,0.1,-23916.295732
74,0.66246,1.07841e-05,1.05758e-05,1.12105,0.0606563,4.889,80.3195,0.1,1,0.1,-23916.295732
75,0.658845,1.05752e-05,1.06769e-05,1.1032,0.0605741,4.87684,80.1869,0.1,1,0.1,-23895.821640
76,0.660341,1.06598e-05,1.06536e-05,1.1195,0.0571629,4.86772,79.9915,0.1,1,0.1,-23756.094747
77,0.660341,1.06598e-05,1.06536e-05,1.1195,0.0571629,4.86772,79.9915,0.1,1,0.1,-23756.094747
78,0.659854,1.06311e-05,1.07018e-05,1.13013,0.0564542,4.85953,80.1261,0.1,1,0.1,-23718.586163
79,0.659854,1.06311e-05,1.07018e-05,1.13013,0.0564542,4.85953,80.1261,0.1,1,0.1,-23718.586163
