time,low95:S:city1__all,S:city1__all,high95:S:city1__all,low95:S:city2__all,S:city2__all,high95:S:city2__all,low95:I:city1__all,I:city1__all,high95:I:city1__all,low95:I:city2__all,I:city2__all,high95:I:city2__all,low95:all__CDC__inc,all__CDC__inc,high95:all__CDC__inc,low95:all__google__inc,all__google__inc,high95:all__google__inc,low95:city2__CDC__inc,city2__CDC__inc,high95:city2__CDC__inc,low95:city1__CDC__prev,city1__CDC__prev,high95:city1__CDC__prev
26,32809.1,32809.1,32809.1,13819,13819,13819,3711.79,3711.79,3711.79,59.4183,59.4183,59.4183,1674.91,1674.91,1674.91,1674.91,1674.91,1674.91,12.3917,12.3917,12.3917,2124.81,2124.81,2124.81
27,31431.1,31431.1,31431.1,14070.5,14070.5,14070.5,3000.31,3000.31,3000.31,39.8356,39.8356,39.8356,1365.83,1365.83,1365.83,1365.83,1365.83,1365.83,8.43249,8.43249,8.43249,1717.5,1717.5,1717.5
28,30428.4,30428.4,30428.4,14326.6,14326.6,14326.6,2381.84,2381.84,2381.84,26.8545,26.8545,26.8545,1091.39,1091.39,1091.39,1091.39,1091.39,1091.39,5.77016,5.77016,5.77016,1363.44,1363.44,1363.44
29,29720.7,29720.7,29720.7,14585.7,14585.7,14585.7,1866.53,1866.53,1866.53,18.2049,18.2049,18.2049,859.21,859.21,859.21,859.21,859.21,859.21,3.97019,3.97019,3.97019,1068.45,1068.45,1068.45
30,29241.3,29241.3,29241.3,14847,14847,14847,1449.64,1449.64,1449.64,12.4112,12.4112,12.4112,669.318,669.318,669.318,669.318,669.318,669.318,2.74673,2.74673,2.74673,829.793,829.793,829.793
31,28937.1,28937.1,28937.1,15109.6,15109.6,15109.6,1119.21,1119.21,1119.21,8.50954,8.50954,8.50954,517.67,517.67,517.67,517.67,517.67,517.67,1.91072,1.91072,1.91072,640.642,640.642,640.642
32,28766.4,28766.4,28766.4,15373.1,15373.1,15373.1,861.019,861.019,861.019,5.86782,5.86782,5.86782,398.565,398.565,398.565,398.565,398.565,398.565,1.33646,1.33646,1.33646,492.841,492.841,492.841
33,28697.3,28697.3,28697.3,15637.3,15637.3,15637.3,661.198,661.198,661.198,4.06942,4.06942,4.06942,306.085,306.085,306.085,306.085,306.085,306.085,0.939923,0.939923,0.939923,378.458,378.458,378.458
34,28705.5,28705.5,28705.5,15901.9,15901.9,15901.9,507.527,507.527,507.527,2.83843,2.83843,2.83843,234.828,234.828,234.828,234.828,234.828,234.828,0.664671,0.664671,0.664671,290.494,290.494,290.494
35,28772.5,28772.5,28772.5,16166.7,16166.7,16166.7,389.801,389.801,389.801,1.99121,1.99121,1.99121,180.188,180.188,180.188,180.188,180.188,180.188,0.47261,0.47261,0.47261,223.108,223.108,223.108
36,28884.1,28884.1,28884.1,16431.7,16431.7,16431.7,299.795,299.795,299.795,1.40492,1.40492,1.40492,138.408,138.408,138.408,138.408,138.408,138.408,0.337896,0.337896,0.337896,171.589,171.589,171.589
37,29029.9,29029.9,29029.9,16696.8,16696.8,16696.8,231.027,231.027,231.027,0.996963,0.996963,0.996963,106.5,106.5,106.5,106.5,106.5,106.5,0.242912,0.242912,0.242912,132.227,132.227,132.227
38,29201.7,29201.7,29201.7,16962,16962,16962,178.466,178.466,178.466,0.711546,0.711546,0.711546,82.1324,82.1324,82.1324,82.1324,82.1324,82.1324,0.175591,0.175591,0.175591,102.142,102.142,102.142
39,29393.5,29393.5,29393.5,17227.1,17227.1,17227.1,138.246,138.246,138.246,0.510768,0.510768,0.510768,63.5079,63.5079,63.5079,63.5079,63.5079,63.5079,0.127629,0.127629,0.127629,79.1223,79.1223,79.1223
40,29600.7,29600.7,29600.7,17492.3,17492.3,17492.3,107.418,107.418,107.418,0.368756,0.368756,0.368756,49.2517,49.2517,49.2517,49.2517,49.2517,49.2517,0.0932799,0.0932799,0.0932799,61.4774,61.4774,61.4774
41,29819.6,29819.6,29819.6,17757.4,17757.4,17757.4,83.7357,83.7357,83.7357,0.267763,0.267763,0.267763,38.3174,38.3174,38.3174,38.3174,38.3174,38.3174,0.0685526,0.0685526,0.0685526,47.923,47.923,47.923
42,30047.7,30047.7,30047.7,18022.5,18022.5,18022.5,65.4977,65.4977,65.4977,0.195549,0.195549,0.195549,29.9109,29.9109,29.9109,29.9109,29.9109,29.9109,0.0506591,0.0506591,0.0506591,37.4848,37.4848,37.4848
43,30282.8,30282.8,30282.8,18287.5,18287.5,18287.5,51.4134,51.4134,51.4134,0.143633,0.143633,0.143633,23.4304,23.4304,23.4304,23.4304,23.4304,23.4304,0.0376437,0.0376437,0.0376437,29.4239,29.4239,29.4239
44,30523.5,30523.5,30523.5,18552.5,18552.5,18552.5,40.5044,40.5044,40.5044,0.106108,0.106108,0.106108,18.4203,18.4203,18.4203,18.4203,18.4203,18.4203,0.0281273,0.0281273,0.0281273,23.1804,23.1804,23.1804
45,30768.3,30768.3,30768.3,18817.4,18817.4,18817.4,32.0284,32.0284,32.0284,0.0788374,0.0788374,0.0788374,14.5349,14.5349,14.5349,14.5349,14.5349,14.5349,0.0211333,0.0211333,0.0211333,18.3295,18.3295,18.3295
46,31016.5,31016.5,31016.5,19082.3,19082.3,19082.3,25.4216,25.4216,25.4216,0.0589127,0.0589127,0.0589127,11.5122,11.5122,11.5122,11.5122,11.5122,11.5122,0.0159667,0.0159667,0.0159667,14.5484,14.5484,14.5484
47,31267.3,31267.3,31267.3,19347.1,19347.1,19347.1,20.2545,20.2545,20.2545,0.0442768,0.0442768,0.0442768,9.15278,9.15278,9.15278,9.15278,9.15278,9.15278,0.0121302,0.0121302,0.0121302,11.5913,11.5913,11.5913
48,31520.2,31520.2,31520.2,19611.8,19611.8,19611.8,16.1998,16.1998,16.1998,0.0334683,0.0334683,0.0334683,7.30491,7.30491,7.30491,7.30491,7.30491,7.30491,0.00926679,0.00926679,0.00926679,9.27074,9.27074,9.27074
49,31774.6,31774.6,31774.6,19876.5,19876.5,19876.5,13.007,13.007,13.007,0.0254438,0.0254438,0.0254438,5.85269,5.85269,5.85269,5.85269,5.85269,5.85269,0.00711871,0.00711871,0.00711871,7.44353,7.44353,7.44353
50,32030.3,32030.3,32030.3,20141,20141,20141,10.4841,10.4841,10.4841,0.0194543,0.0194543,0.0194543,4.70747,4.70747,4.70747,4.70747,4.70747,4.70747,0.00549902,0.00549902,0.00549902,5.99974,5.99974,5.99974
51,32287,32287,32287,20405.6,20405.6,20405.6,8.48368,8.48368,8.48368,0.0149603,0.0149603,0.0149603,3.80116,3.80116,3.80116,3.80116,3.80116,3.80116,0.00427151,0.00427151,0.00427151,4.85493,4.85493,4.85493
52,32544.5,32544.5,32544.5,20670,20670,20670,6.89191,6.89191,6.89191,0.0115704,0.0115704,0.0115704,3.08141,3.08141,3.08141,3.08141,3.08141,3.08141,0.0033365,0.0033365,0.0033365,3.944,3.944,3.944
