index,S:city1__all,S:city2__all,I:all,r0:city1__all,r0:city2__all,v:all,sto:all,rep:all,phi:CDC,phi:google,log_like
3660,0.07,0.07,6.06899e-06,21.7368,30.7574,10.0049,0.1,0.564981,0.1,0.1,-826.230579
3661,0.07,0.07,6.06899e-06,21.7368,30.7574,10.0049,0.1,0.564981,0.1,0.1,-826.230579
3662,0.07,0.07,6.06899e-06,21.7368,30.7574,10.0049,0.1,0.564981,0.1,0.1,-826.230579
3663,0.07,0.07,5.76057e-06,21.6316,30.6226,9.88133,0.1,0.568321,0.1,0.1,-827.558015
3664,0.07,0.07,5.76057e-06,21.6316,30.6226,9.88133,0.1,0.568321,0.1,0.1,-827.558015
3665,0.07,0.07,5.76057e-06,21.6316,30.6226,9.88133,0.1,0.568321,0.1,0.1,-827.558015
3666,0.07,0.07,5.76057e-06,21.6316,30.6226,9.88133,0.1,0.568321,0.1,0.1,-827.558015
3667,0.07,0.07,5.8236e-06,21.5401,30.5095,9.80343,0.1,0.575777,0.1,0.1,-827.028669
3668,0.07,0.07,5.8236e-06,21.5401,30.5095,9.80343,0.1,0.575777,0.1,0.1,-827.028669
3669,0.07,0.07,5.8236e-06,21.5401,30.5095,9.80343,0.1,0.575777,0.1,0.1,-827.028669
3670,0.07,0.07,5.8236e-06,21.5401,30.5095,9.80343,0.1,0.575777,0.1,0.1,-827.028669
3671,0.07,0.07,5.99009e-06,21.3937,30.3609,9.67982,0.1,0.586281,0.1,0.1,-827.968577
3672,0.07,0.07,5.99009e-06,21.3937,30.3609,9.67982,0.1,0.586281,0.1,0.1,-827.968577
3673,0.07,0.07,6.13476e-06,21.5517,30.593,9.87733,0.1,0.567272,0.1,0.1,-827.990057
3674,0.07,0.07,6.07676e-06,21.838,31.1398,10.1509,0.1,0.560278,0.1,0.1,-827.741570
3675,0.07,0.07,6.07676e-06,21.838,31.1398,10.1509,0.1,0.560278,0.1,0.1,-827.741570
3676,0.07,0.07,6.1365e-06,21.9895,31.4487,10.3202,0.1,0.547778,0.1,0.1,-830.540987
3677,0.07,0.07,6.0222e-06,22.0611,31.5006,10.3522,0.1,0.551443,0.1,0.1,-828.691022
3678,0.07,0.07,5.62038e-06,22.0233,31.3788,10.2141,0.1,0.557006,0.1,0.1,-826.987881
3679,0.07,0.07,5.62038e-06,22.0233,31.3788,10.2141,0.1,0.557006,0.1,0.1,-826.987881
3680,0.07,0.07,5.62038e-06,22.0233,31.3788,10.2141,0.1,0.557006,0.1,0.1,-826.987881
3681,0.07,0.07,5.88427e-06,22.1018,31.4708,10.3215,0.1,0.561502,0.1,0.1,-827.882503
3682,0.07,0.07,5.88427e-06,22.1018,31.4708,10.3215,0.1,0.561502,0.1,0.1,-827.882503
3683,0.07,0.07,5.88427e-06,22.1018,31.4708,10.3215,0.1,0.561502,0.1,0.1,-827.882503
3684,0.07,0.07,5.88427e-06,22.1018,31.4708,10.3215,0.1,0.561502,0.1,0.1,-827.882503
3685,0.07,0.07,5.88427e-06,22.1018,31.4708,10.3215,0.1,0.561502,0.1,0.1,-827.882503
3686,0.07,0.07,5.88427e-06,22.1018,31.4708,10.3215,0.1,0.561502,0.1,0.1,-827.882503
3687,0.07,0.07,5.47977e-06,22.023,31.3394,10.1765,0.1,0.568031,0.1,0.1,-827.536197
3688,0.07,0.07,5.36058e-06,22.0989,31.4698,10.2246,0.1,0.563076,0.1,0.1,-829.037935
3689,0.07,0.07,5.36058e-06,22.0989,31.4698,10.2246,0.1,0.563076,0.1,0.1,-829.037935
3690,0.07,0.07,5.3855e-06,22.031,31.3019,10.1772,0.1,0.566435,0.1,0.1,-829.271282
3691,0.07,0.07,5.3855e-06,22.031,31.3019,10.1772,0.1,0.566435,0.1,0.1,-829.271282
3692,0.07,0.07,5.3855e-06,22.031,31.3019,10.1772,0.1,0.566435,0.1,0.1,-829.271282
3693,0.07,0.07,5.3855e-06,22.031,31.3019,10.1772,0.1,0.566435,0.1,0.1,-829.271282
3694,0.07,0.07,5.3855e-06,22.031,31.3019,10.1772,0.1,0.566435,0.1,0.1,-829.271282
3695,0.07,0.07,5.3855e-06,22.031,31.3019,10.1772,0.1,0.566435,0.1,0.1,-829.271282
3696,0.07,0.07,5.3855e-06,22.031,31.3019,10.1772,0.1,0.566435,0.1,0.1,-829.271282
3697,0.07,0.07,5.69137e-06,21.9962,31.3711,10.2256,0.1,0.567667,0.1,0.1,-828.544350
